gov_name_f,gov_name_a,gov_id,commissariat_regional_f,commissariat_regional_a,adresse_f,adresse_a,latitude,longitude
Tunis,تونس,11,,المندوبية الجهوية للشؤون الثقافية تونس,,20 نهج 8010 مونبليزير 1002 تونس ,36.817763,10.185721
Ariana,أريانة,12,,المندوبية الجهوية للشؤون الثقافية أريانة,, 23شارع الإستقلال 2080,36.853407,10.1939603
Ben Arous,بن عروس,13,,المندوبية الجهوية للشؤون الثقافية ببن عروس,,18 نهج نابل حي محمد علي حمام الانف 2050,36.723453,10.342050
Manubah,منوبة,14,,المندوبية الجهوية للشؤون الثقافية بمنوبة,,11 نهج البلدية - منوبة,36.811332,10.093408
Nabeul,نابل,15,,المندوبية الجهوية للشؤون الثقافية نابل,,نهج الهادي شاكر - 8000 نابل,36.453511,10.737538
Zaghouan,زغوان,16,,المندوبية الجهوية للشؤون الثقافية زغوان,,زغوان 1100,36.398704,10.149647
Bizerte,بنزرت,17,,المندوبية الجهوية للشؤون الثقافية بنزرت,,طريق بنزرت ماطر,37.271723,9.8714775
Béja,باجة,21,,,,ساحة 14 جانفي 2011 – باجة 9000,36.724050,9.185014
Jendouba,جندوبة,22,,المندوبية الجهوية للشؤون الثقافية جندوبة,,شارع الحبيب بورقيبة جندوبة 8100,36.503510,8.786949
Le Kef,الكاف,23,,,,,,
Siliana,سليانة,24,,المندوبية الجهوية  للشؤون الثقافية  بسليانة ,,شارع فرحات حشاد شليانة 6100,36.087526,9.370990
Sousse,سوسة,31,,المندوبية الجهوية للشؤون الثقافية بسوسة,,نهج 3 أوت 4000 سوسة,35.828710,10.633857
Monastir,المنستير,32,,المندوبية الجهوية للشؤون الثقافية المنستير,,شارع الطيب المهيري 5000,35.768715,10.821999
Mahdia,المهدية,33,,المندوبية الجهوية للشؤون الثقافية المهدية,,شارع فرحات حشاد المهدية 5100,35.501511,11.064616
Sfax,صفاقس,34,,المندوبية الجهوية للشؤون الثقافية صفاقس,,صفاقس,34.7343421,10.761992
Kairouan,القيروان,41,,المندوبية الجهوية للشؤون الثقافية القيروان,,القيروان,35.678037,10.102944
Kassérine,القصرين,42,,,,,,
Sidi Bou Zid,سيدي بوزيد,43,,المندوبية الجهوية للشؤون الثقافية سيدي بوزيد,,سيدي بوزيد,35.032292,9.469560
Gabès,قابس,51,,المندوبية الجهوية للشؤون الثقافية قابس,,نهج الطيّب المهيري قابس 6000,33.881076,10.100507
Médenine,مدنين,52,,المندوبية الجهوية للشؤون الثقافية مدنين,,شارع الحبيب بورقيبة مدنين4100,33.345994,10.489517
Tataouine,تطاوين,54,,المندوبية الجهوية للشؤون الثقافية تطاوين,,شارع أحمد التليلي 3200,32.927499,10.443976
Gafsa,قفصة,61,,المندوبية الجهوية للشؤون الثقافية بقفصة ,,شارع البيئة قفصة 2100,34.422324,8.767641
Tozeur,توزر,62,,المندوبية الجهوية للشؤون الثقافية بتوزر,,طريق نفطة,33.919294,8.110269
Kebili,قبلي,63,,المندوبية الجهوية للشؤون الثقافية بقبلي,,نهج ابن سينا 4200 قبلي, 33.423207,  8.5810444
