gov_name_f,gov_name_a,gov_id,Association,Titre,Data,Subvention
Tunis,تونس,11,الجمعية التونسية للفنون و الوساطة,السمبوزيوم الدولي الاول للخزف الحائطي,25/12/2018,50000
Tunis,تونس,11,اتحاد الفنانين التشكيليين التونسيين,البرنامج السنوي لسنة 2018,16/03/2018,30000
Ariana,أريانة,12,جمعية الفن التشكيلي المعاصر,البرنامج السنوي لسنة 2018,07/03/2018,5000
Ben Arous,بن عروس,13,*,*,*,0
Manubah,منوبة,14,جمعية الفنانات المغاربيات,"الملتقى المغاربي السادس""تطبيق البراي التشكيلي للطفل الكفيف بين المنفعة و الابداع",30/03/2018,10000
Nabeul,نابل,15,جمعية رقش للثقافة و الفن و التصميم,"الدورة الاولى من تظاهرة ""منتدى فصل و وصل "" من 27 افريل الى 19 ماي 2018",30/03/2018,10000
Nabeul,نابل,15,جمعية منتدى هرمايا الهوارية,منتدى هرمايا الهوارية من 27 الى 29 افريل 2018,07/03/2018,4000
Zaghouan,زغوان,16,*,*,*,0
Bizerte,بنزرت,17,*,*,*,0
Béja,باجة,21,*,*,*,0
Jendouba,جندوبة,22,جمعية البيئة  و التنمية المستدامة بغار الدماء,ملتقى الفنون التشكيلية للطفل من 20 الى 22 مارس 2018,01/03/2018,2000
Le Kef,الكاف,23,*,*,*,0
Siliana,سليانة,24,جمعية الفن للجميع بقعفور,الدورة الثانية لايام الفنون من 28 افريل الى 04 ماي,07/03/2018,0
Sousse,سوسة,31,*,*,*,0
Monastir,المنستير,32,الجمعية المتوسطية للفنون التشكيلية المعاصرة,معرض 6*6 من 07 الى 09 ديسمبر2018,27/11/2018,10000
Monastir,المنستير,32,جمعية الفنون الجميلة بالمنستير,المهرجان الدولي للفنون التشكيلية بالمنستير خلال شهر جويلية 2018,11/07/2018,50000
Mahdia,المهدية,33,جمعية الطفل و الابداع بالشابة,الدورة الثانية لمهرجان الشابة للفنون التشكيلية من 19 الى 25 افريل2018,01/03/2018,20000
Sfax,صفاقس,34,جمعية مهرجان المحرص الدولي للفنون,الدورة 32 لمهرجان المحرس الدولي للفنون التشكيلية خلال شهر جويلية2018,11/07/2018,0
Sfax,صفاقس,34,جمعية احباء الفنون التشكيلية ببرج قلال,"برنامج 2018 ""فلننقذ الابراج 3"" الدورة 3 خلال شهر جويلية",07/03/2018,8000
Kairouan,القيروان,41,*,,*,0
Kassérine,القصرين,42,جمعية فنون بلا حدود,الدورة الثانية لمهرجان الشعانبي الوطني للفنون التشكيلية من 28 افريل الى 04 ماي 2018,27/11/2018,4000
Sidi Bou Zid,سيدي بوزيد,43,*,*,*,0
Gabès,قابس,51,*,*,*,0
Médenine,مدنين,52,جمعية التنشيط الثقافي بجربة,النشاط السنوي لسنة 2018,07/05/2018,10000
Médenine,مدنين,52,جمعية اصدقاء المدينة بالرياض جربة,الدورة السادسة لمهرجان المدينة بالرياض جربة من 25 جوان الى 09 جويلية2018,23/04/2018,10000
Tataouine,تطاوين,54,*,*,*,0
Gafsa,قفصة,61,جمعية كبصا,الدورة الرابعة للملتقى العالمي للفن التشكيلي بقفصة من01 الى 11 سبتمبر 2018,27/06/2018,4000
Tozeur,توزر,62,جمعية فنون الجريد,الدورة الخامسة للمهرجان الدولي للفنون التشكيلية من 16 الى 20 ديسمبر2018,29/10/2018,10000
Kebili,قبلي,63,*,*,*,0
